track_name,artist_name,album_name,genre,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,release_year
Track_0,Ed Sheeran,Evolve,Blues,62,0.778,0.585,0.392,0.031,0.089,0.194,0.61,138.57,261448,-7.1,1978
Track_1,Stevie Wonder,7,Soul,46,0.792,0.242,0.286,0.275,0.205,0.613,0.145,113.19,359147,-16.03,2025
Track_2,Santana,Thriller,K-Pop,0,0.495,0.591,0.543,0.612,0.819,0.466,0.705,66.42,203586,-19.3,2008
Track_3,Adele,7,R&B,48,0.485,0.429,0.152,0.264,0.89,0.522,0.616,83.96,323951,-6.77,1998
Track_4,Earth Wind & Fire,Evolve,Britpop,59,0.799,0.15,0.538,0.797,0.381,0.062,0.899,139.41,292159,-7.05,2021
Track_5,Travis Scott,Manic,Britpop,63,0.781,0.58,0.491,0.424,0.554,0.296,0.978,79.37,265729,-12.66,2008
Track_6,Eagles,Morning Glory,Britpop,61,0.25,0.44,0.648,0.524,0.923,0.69,0.061,160.9,179343,-7.96,1970
Track_7,Lil Nas X,Discovery,Folk,51,0.203,0.743,0.473,0.962,0.724,0.411,0.149,147.54,273900,-3.96,1964
Track_8,Oasis,Morning Glory,Indie,12,0.614,0.101,0.224,0.019,0.883,0.704,0.823,103.05,214481,-23.55,1970
Track_9,Adele,Hotel California,K-Pop,82,0.616,0.212,0.436,0.937,0.157,0.427,0.614,195.01,88302,-1.78,2012
Track_10,Ariana Grande,Purple Rain,Emo Rap,24,0.491,0.901,0.304,0.245,0.061,0.027,0.565,142.38,293094,-24.82,1989
Track_11,Led Zeppelin,7,Hip-Hop,61,0.386,0.695,0.155,0.131,0.889,0.461,0.49,169.85,222242,-4.81,1954
Track_12,Nirvana,Homework,Punk,30,0.769,0.699,0.64,0.097,0.382,0.278,0.851,94.81,271093,-20.24,1995
Track_13,Dua Lipa,Imagine,Classical,55,0.546,0.867,0.367,0.05,0.949,0.67,0.951,189.69,375960,-3.78,2009
Track_14,Travis Scott,Back in Black,Jazz,67,0.202,0.447,0.604,0.777,0.271,0.56,0.729,169.67,219295,-8.45,2001
Track_15,Oasis,Views,Jazz,27,0.783,0.151,0.388,0.498,0.81,0.134,0.944,71.22,204206,-20.35,1957
Track_16,Kanye West,When We All Fall Asleep,Metal,85,0.652,0.135,0.072,0.651,0.537,0.26,0.293,153.76,212044,-17.15,1965
Track_17,Mark Ronson,Homework,Britpop,0,0.93,0.108,0.411,0.557,0.095,0.435,0.52,78.54,276647,-16.27,1988
Smooth,Santana ft. Rob Thomas,Supernatural,Rock,49,0.624,0.369,0.64,0.799,0.502,0.538,0.566,190.45,302880,-22.41,1997
Track_19,Santana,DAMN.,R&B,66,0.364,0.405,0.453,0.844,0.48,0.208,0.895,67.11,280450,-9.14,2020
Track_20,Queen,After Hours,Folk,42,0.778,0.591,0.289,0.01,0.071,0.708,0.891,136.38,204513,-4.14,1966
Track_21,Eminem,SOUR,Country,35,0.821,0.866,0.586,0.208,0.237,0.091,0.776,183.78,359962,-14.84,1955
Track_22,Eminem,When We All Fall Asleep,EDM,59,0.775,0.396,0.606,0.794,0.821,0.65,0.298,170.23,230885,-22.3,1972
Track_23,Halsey,7,Jazz,27,0.88,0.298,0.436,0.394,0.265,0.065,0.769,109.16,330112,-12.26,2008
Track_24,Juice WRLD,Talking Book,Pop,68,0.653,0.975,0.044,0.591,0.328,0.631,0.456,197.79,207411,-22.11,1964
Track_25,Oasis,Spider-Verse,Rock,100,0.62,0.74,0.487,0.664,0.346,0.065,0.668,106.23,241453,-17.15,2005
Track_26,Camila Cabello,Scorpion,Disco,43,0.744,0.593,0.141,0.658,0.36,0.601,0.212,139.67,193789,-14.85,1989
Track_27,Post Malone,Views,Jazz,62,0.451,0.493,0.446,0.506,0.754,0.768,0.734,152.24,160095,-17.91,2005
Track_28,Rihanna,Talking Book,Hip-Hop,46,0.355,0.122,0.174,0.47,0.807,0.068,0.435,148.17,202137,-20.14,1980
Track_29,Travis Scott,Manic,Blues,53,0.786,0.785,0.087,0.421,0.167,0.767,0.532,67.03,234743,-18.77,1968
Track_30,Justin Bieber,1989,Soul,88,0.941,0.893,0.406,0.712,0.48,0.666,0.56,185.61,233865,-6.41,2017
Track_31,Santana,When We All Fall Asleep,Britpop,58,0.689,0.344,0.069,0.283,0.258,0.263,0.552,79.37,167529,-19.22,1985
Track_32,Shawn Mendes,Supernatural,Hip-Hop,28,0.524,0.284,0.285,0.896,0.555,0.559,0.847,167.18,281163,-15.49,2003
Without Me,Halsey,Manic,Pop,56,0.944,0.473,0.491,0.541,0.573,0.184,0.254,121.02,122441,-24.27,1988
Track_34,Kanye West,Manic,K-Pop,85,0.965,0.575,0.591,0.586,0.63,0.076,0.449,181.36,126498,-20.46,1971
Track_35,Imagine Dragons,Supernatural,Soul,28,0.417,0.947,0.286,0.827,0.447,0.602,0.098,193.27,345273,-19.39,1991
HIGHEST IN THE ROOM,Travis Scott,Highest in the Room,Hip-Hop,70,0.216,0.236,0.1,0.663,0.536,0.182,0.701,167.37,227543,-20.81,1953
Track_37,Cardi B,DAMN.,EDM,59,0.443,0.703,0.624,0.393,0.679,0.07,0.692,147.81,248597,-22.45,1989
Track_38,Kanye West,In Rainbows,R&B,59,0.534,0.43,0.339,0.338,0.807,0.66,0.148,194.51,185746,-9.11,2022
Track_39,Shawn Mendes,Morning Glory,Punk,48,0.411,0.819,0.359,0.479,0.414,0.588,0.3,179.24,85128,-4.23,1972
Save Your Tears,The Weeknd,After Hours,Synthwave,55,0.721,0.399,0.331,0.322,0.463,0.29,0.29,99.15,162064,-10.1,1981
Track_41,Glass Animals,After Hours,Disco,89,0.581,0.775,0.455,0.639,0.466,0.636,0.137,91.02,289055,-7.71,1974
Track_42,Bruno Mars,Fine Line,Funk,29,0.782,0.394,0.463,0.268,0.239,0.105,0.229,76.74,227803,-11.6,2020
Track_43,Taylor Swift,Purple Rain,Jazz,49,0.793,0.631,0.638,0.824,0.281,0.295,0.331,159.12,318969,-21.84,2011
Goosebumps,Travis Scott,Birds in the Trap,Hip-Hop,39,0.698,0.77,0.085,0.012,0.27,0.388,0.367,195.17,379079,-18.69,2020
Track_45,Eagles,Nevermind,Metal,86,0.242,0.233,0.375,0.301,0.944,0.104,0.761,144.88,277947,-5.23,2012
Track_46,Tones and I,Justice,Soul,45,0.534,0.606,0.058,0.951,0.094,0.613,0.632,97.05,316447,-22.97,2006
Track_47,Glass Animals,Nevermind,EDM,22,0.567,0.129,0.202,0.28,0.817,0.066,0.267,97.04,289881,-5.22,1950
Track_48,Oasis,SOUR,R&B,57,0.407,0.227,0.058,0.785,0.565,0.661,0.907,121.48,273655,-13.28,2019
Track_49,Bee Gees,Evolve,Disco,44,0.231,0.485,0.223,0.248,0.087,0.77,0.827,140.53,240957,-1.23,2019
Track_50,Megan Thee Stallion,Human After All,Classical,95,0.567,0.68,0.597,0.18,0.556,0.511,0.507,72.77,265214,-16.3,2023
Track_51,Sting,I Am,Synthwave,69,0.741,0.357,0.615,0.805,0.523,0.369,0.343,105.26,198157,-0.75,1963
Track_52,Bee Gees,Born to Die,Pop,46,0.604,0.654,0.334,0.438,0.049,0.221,0.172,100.32,244740,-2.98,2019
Track_53,Travis Scott,DAMN.,Pop,49,0.211,0.463,0.162,0.833,0.108,0.758,0.652,81.56,189880,-1.68,1980
Track_54,Billie Eilish,Born to Die,Emo Rap,30,0.568,0.507,0.111,0.189,0.569,0.6,0.177,69.77,274874,-5.68,1984
Track_55,Stevie Wonder,Talking Book,Disco,63,0.433,0.622,0.649,0.485,0.141,0.435,0.371,137.27,195803,-11.41,1984
Track_56,Justin Bieber,I Am,Jazz,38,0.805,0.139,0.489,0.698,0.771,0.315,0.667,174.9,220920,-0.48,1980
Track_57,Travis Scott,Thriller,Country,76,0.278,0.852,0.083,0.901,0.015,0.124,0.86,195.79,228359,-23.13,2014
Track_58,Santana,Talking Book,Grunge,26,0.865,0.865,0.259,0.313,0.683,0.61,0.861,65.03,145224,-23.29,2000
Track_59,Coldplay,Human After All,Reggae,54,0.277,0.664,0.57,0.439,0.659,0.724,0.093,171.46,176000,-17.67,1979
Track_60,Drake,SOUR,Country,23,0.818,0.251,0.07,0.862,0.589,0.2,0.899,80.04,224917,-13.47,1981
Track_61,Santana,Dark Side of the Moon,Classical,77,0.424,0.586,0.067,0.936,0.938,0.246,0.945,156.64,200168,-13.58,1951
Track_62,Post Malone,Purple Rain,Metal,74,0.48,0.363,0.461,0.022,0.789,0.323,0.058,181.11,276521,-5.54,2011
Track_63,Led Zeppelin,In Rainbows,K-Pop,81,0.805,0.305,0.525,0.217,0.181,0.208,0.753,167.45,127572,-7.98,2013
Track_64,Mark Ronson,Random Access Memories,R&B,45,0.652,0.752,0.077,0.292,0.71,0.149,0.173,135.52,300309,-0.71,1955
Track_65,Tones and I,Born to Die,Classical,52,0.576,0.818,0.49,0.335,0.109,0.771,0.181,195.31,351859,-3.5,1971
Track_66,Camila Cabello,Human After All,Metal,25,0.211,0.578,0.307,0.666,0.639,0.472,0.815,191.64,319254,-22.29,2021
Track_67,John Lennon,Back in Black,Pop,38,0.705,0.666,0.312,0.694,0.617,0.102,0.092,65.21,312652,-0.1,2021
Track_68,Eagles,8 Mile Soundtrack,Blues,73,0.723,0.761,0.616,0.415,0.705,0.132,0.436,73.86,289667,-12.77,2018
Track_69,Stevie Wonder,Evolve,Rock,60,0.384,0.423,0.638,0.364,0.857,0.519,0.106,98.62,303708,-0.79,1997
Track_70,Justin Bieber,Hotel California,Synthwave,33,0.217,0.8,0.173,0.125,0.536,0.064,0.762,89.0,177110,-19.6,1977
Track_71,John Lennon,Talking Book,Country,42,0.97,0.581,0.523,0.109,0.823,0.114,0.383,170.38,410057,-10.28,1950
Track_72,Ed Sheeran,Imagine,Classical,73,0.289,0.157,0.302,0.358,0.564,0.367,0.256,146.11,284838,-6.82,1956
Track_73,Beyonce,Lemonade,Reggae,51,0.979,0.854,0.289,0.107,0.677,0.36,0.886,105.1,228169,-21.29,2008
Track_74,Mark Ronson,Evolve,Grunge,33,0.976,0.572,0.306,0.599,0.094,0.564,0.843,151.13,224079,-5.78,2024
Track_75,Camila Cabello,Supernatural,Punk,74,0.845,0.455,0.48,0.309,0.297,0.211,0.937,156.15,199900,-13.14,2007
Track_76,Adele,Hotel California,Hip-Hop,88,0.833,0.595,0.389,0.556,0.313,0.107,0.379,153.15,296057,-6.24,2005
Track_77,Camila Cabello,21,Reggae,35,0.366,0.684,0.161,0.107,0.803,0.3,0.759,140.37,303273,-4.82,1989
Track_78,Glass Animals,OK Computer,Grunge,100,0.847,0.338,0.134,0.696,0.294,0.278,0.056,181.78,262666,-10.84,2021
Track_79,Bee Gees,Nevermind,Country,80,0.493,0.504,0.119,0.309,0.308,0.754,0.604,183.67,280219,-21.11,1953
Track_80,Megan Thee Stallion,OK Computer,Rock,49,0.579,0.493,0.192,0.747,0.108,0.35,0.313,154.99,327515,-12.83,1960
Track_81,Beyonce,Scorpion,Rock,28,0.206,0.368,0.153,0.136,0.243,0.269,0.057,164.58,289630,-20.61,1978
Track_82,Earth Wind & Fire,Anti,Emo Rap,7,0.829,0.164,0.563,0.042,0.018,0.738,0.852,140.61,239812,-10.67,1979
Track_83,Shawn Mendes,Random Access Memories,Punk,58,0.453,0.813,0.409,0.824,0.874,0.08,0.835,94.06,248156,-10.28,1987
Track_84,Tones and I,Hotel California,Metal,54,0.808,0.168,0.419,0.525,0.184,0.623,0.377,194.15,197547,-8.86,1989
Track_85,Eminem,When We All Fall Asleep,R&B,54,0.319,0.776,0.067,0.942,0.597,0.377,0.574,141.13,277014,-7.97,1968
Track_86,Olivia Rodrigo,Discovery,Britpop,78,0.318,0.161,0.299,0.3,0.261,0.054,0.522,103.46,176510,-13.7,1991
Track_87,Led Zeppelin,Fine Line,Reggae,12,0.27,0.629,0.262,0.575,0.907,0.594,0.088,187.27,109713,-10.71,1959
Track_88,Oasis,I Am,Grunge,0,0.551,0.822,0.548,0.973,0.08,0.52,0.086,159.07,238703,-0.23,2010
Track_89,Tones and I,Lemonade,Grunge,18,0.502,0.789,0.448,0.052,0.599,0.274,0.357,138.11,341255,-15.34,1970
Track_90,Santana,Homework,Grunge,38,0.31,0.411,0.63,0.691,0.372,0.48,0.922,103.34,308693,-15.58,1969
Track_91,Sting,1989,Synthwave,86,0.597,0.116,0.215,0.942,0.325,0.615,0.229,200.0,289529,-21.13,2017
Track_92,Billie Eilish,8 Mile Soundtrack,Disco,81,0.229,0.4,0.503,0.13,0.358,0.138,0.823,167.95,132919,-4.77,2019
Track_93,Kendrick Lamar,Starboy,Rock,28,0.956,0.643,0.494,0.776,0.222,0.199,0.948,169.81,312048,-2.4,2002
Track_94,Oasis,Fine Line,Synthwave,82,0.42,0.44,0.352,0.957,0.776,0.643,0.179,95.0,233481,-8.97,2023
Track_95,Drake,Channel Orange,R&B,67,0.795,0.343,0.59,0.146,0.416,0.758,0.256,123.16,200446,-16.26,2016
Track_96,Ed Sheeran,Astroworld,Rock,36,0.976,0.434,0.038,0.922,0.797,0.523,0.786,79.26,239445,-17.83,2000
Track_97,Halsey,1989,Emo Rap,52,0.262,0.328,0.546,0.543,0.691,0.427,0.153,100.33,241953,-17.47,2010
Track_98,Led Zeppelin,When We All Fall Asleep,Punk,98,0.59,0.577,0.418,0.569,0.683,0.24,0.051,109.39,283915,-10.73,2008
Track_99,Taylor Swift,Homework,Synthwave,31,0.944,0.584,0.515,0.503,0.019,0.7,0.09,114.16,231657,-15.67,1960
Track_100,Cardi B,Divide,Indie,32,0.69,0.787,0.483,0.329,0.042,0.441,0.807,84.51,320707,-5.52,1958
